Method,Name,Error,Occurrences
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a7702240790>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a77011252d0>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a76f3f45b50>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a77010e9710>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a7701130c50>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a77010549d0>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a7702207710>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a770109f710>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a770107f590>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a7701059f10>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a770107e690>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a7701046190>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a7701046390>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a76f3f46910>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a7701052b10>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
POST,/v1/chat/completions [200/200],"ConnectTimeoutError(<HTTPConnection(host='192.168.49.2', port=30081) at 0x7a77022432d0>, 'Connection to 192.168.49.2 timed out. (connect timeout=None)')",1
